Designator,Mid X,Mid Y,Rotation,Layer
C1,194.105786,-71.575,0.0,top
C10,195.7,-102.3,90.0,top
C12,194.2,-98.3,270.0,top
C13,212.165786,-75.005786,0.0,top
C14,210.425,-111.25,0.0,top
C15,207.25,-116.5,180.0,top
C16,215.57,-111.06,180.0,top
C17,215.57,-102.06,180.0,top
C18,194.835786,-77.860786,90.0,top
C19,194.835786,-81.060786,270.0,top
C2,216.105786,-71.514214,180.0,top
C20,193.3,-77.875,90.0,top
C21,187.965786,-76.414214,180.0,top
C22,192.389214,-85.114214,0.0,top
C23,197.289072,-121.379999,0.0,top
C24,205.139072,-121.379999,0.0,top
C25,212.989072,-121.379999,0.0,top
C3,194.090786,-117.0,0.0,top
C4,216.120786,-117.0,180.0,top
C5,206.3,-102.9,0.0,top
C6,206.3,-101.28,0.0,top
C7,200.8,-106.3,180.0,top
C8,206.3,-99.7,0.0,top
C9,200.8,-108.5,0.0,top
D1,193.190786,-69.525,180.0,top
D10,219.148286,-111.05,0.0,top
D2,217.020786,-69.428428,0.0,top
D3,193.175786,-118.976714,180.0,top
D4,216.990786,-118.976714,0.0,top
D5,211.835786,-71.555786,270.0,top
D9,188.451714,-115.4,180.0,top
J10,188.285786,-96.835786,90.0,top
J6,221.835786,-96.835786,270.0,top
J7,205.085786,-68.635786,180.0,bottom
J8,218.335786,-80.835786,270.0,top
LED1,197.225,-124.279998,0.0,top
LED2,205.075,-124.279998,0.0,top
LED3,212.925,-124.279998,0.0,top
Q1,194.105786,-74.3125,90.0,top
Q2,216.105786,-74.5375,90.0,top
Q3,194.090786,-114.085786,270.0,top
Q4,216.120786,-114.085786,270.0,top
R1,196.5,-70.6,90.0,top
R10,192.685786,-108.25,0.0,top
R11,192.685786,-109.85,0.0,top
R12,191.835786,-105.425,90.0,top
R13,193.435786,-105.425,90.0,top
R14,198.010786,-75.0,180.0,top
R15,198.010786,-73.16,180.0,top
R16,210.425,-112.9625,180.0,top
R17,210.425,-114.75,180.0,top
R19,200.25,-113.425,90.0,top
R2,213.75,-70.753428,90.0,top
R20,192.410786,-89.085786,180.0,top
R21,191.005786,-76.414214,180.0,top
R22,192.389214,-87.114214,180.0,top
R3,196.890786,-117.75,270.0,top
R4,213.320786,-117.75,270.0,top
R5,194.835786,-84.110786,270.0,top
R6,194.835786,-87.260786,270.0,top
R7,200.125,-98.25,0.0,top
R8,203.175,-98.25,180.0,top
R9,204.2,-106.3,180.0,top
SW1,189.485786,-78.85,0.0,top
SW2,189.485786,-82.35,0.0,top
U2,202.05,-102.3,0.0,top
U3,196.575,-107.875,180.0,top
U4,192.855786,-101.872,90.0,top
U5,205.548286,-86.235786,0.0,top
U6,205.0,-113.025,270.0,top
U7,212.65,-106.5,0.0,top
