Designator,Mid X,Mid Y,Rotation,Layer
C1,59.75,-71.5,0.0,bottom
C2,59.75,-73.5,0.0,bottom
D1,59.735001,-61.034999,0.0,bottom
D2,59.730001,-67.648799,0.0,bottom
D3,54.145001,-67.649999,180.0,bottom
D4,54.192751,-61.119999,180.0,bottom
DWM1,56.951875,-61.1988,0.0,top
R1,54.125,-69.65,0.0,bottom
R2,59.750001,-69.65,0.0,bottom
R3,54.125,-71.55,0.0,bottom
R4,54.125001,-65.648799,180.0,bottom
R5,59.750001,-65.649999,0.0,bottom
R6,59.755001,-63.033799,0.0,bottom
R7,54.130251,-63.118799,180.0,bottom
